Product Name,Price,Rating,Number of Ratings,Number of Reviews,Review Summary,Review Details
"Nokia C32 (Charcoal, 128 GB)","₹7,999",4.0,106,15,Best in the market!,Super 👍 mobile hai
"Nokia C32 (Charcoal, 128 GB)","₹7,999",4.0,106,15,Good quality product,I  LIKE IT.
"Nokia C32 (Charcoal, 128 GB)","₹7,999",4.0,106,15,Worth every penny,Excellent mobile
"Nokia C32 (Charcoal, 128 GB)","₹7,999",4.0,106,15,Absolute rubbish!,Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...
"Nokia C32 (Charcoal, 128 GB)","₹7,999",4.0,106,15,Brilliant,Nice 👍
"Nokia C32 (Charcoal, 128 GB)","₹7,999",4.0,106,15,Not recommended at all,Waste product
"Nokia C32 (Charcoal, 128 GB)","₹7,999",4.0,106,15,Does the job,"Average phone,  very slow"
"Nokia C32 (Charcoal, 128 GB)","₹7,999",4.0,106,15,Nice,Poor performance. Hangs often
"Nokia C32 (Charcoal, 128 GB)","₹7,999",4.0,106,15,Terrific purchase,Nice product
"Nokia C32 (Charcoal, 128 GB)","₹7,999",4.0,106,15,Worthless,Battery charge down quickly
"Nokia C32 (Beach Pink, 128 GB)","₹8,740",4.0,106,15,Best in the market!,Super 👍 mobile hai
"Nokia C32 (Beach Pink, 128 GB)","₹8,740",4.0,106,15,Good quality product,I  LIKE IT.
"Nokia C32 (Beach Pink, 128 GB)","₹8,740",4.0,106,15,Worth every penny,Excellent mobile
"Nokia C32 (Beach Pink, 128 GB)","₹8,740",4.0,106,15,Absolute rubbish!,Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...
"Nokia C32 (Beach Pink, 128 GB)","₹8,740",4.0,106,15,Brilliant,Nice 👍
"Nokia C32 (Beach Pink, 128 GB)","₹8,740",4.0,106,15,Not recommended at all,Waste product
"Nokia C32 (Beach Pink, 128 GB)","₹8,740",4.0,106,15,Does the job,"Average phone,  very slow"
"Nokia C32 (Beach Pink, 128 GB)","₹8,740",4.0,106,15,Nice,Poor performance. Hangs often
"Nokia C32 (Beach Pink, 128 GB)","₹8,740",4.0,106,15,Terrific purchase,Nice product
