Product Name,Price,Rating,Number of Ratings,Number of Reviews,Review Summary,Review Details
"Nokia C32 (Charcoal, 128 GB)","₹7,999",4,106,15,"['Best in the market!', 'Good quality product', 'Worth every penny', 'Absolute rubbish!', 'Brilliant', 'Not recommended at all', 'Does the job', 'Nice', 'Terrific purchase', 'Worthless']","['Super 👍 mobile haiREAD MORE', 'I  LIKE IT.READ MORE', 'Excellent mobileREAD MORE', 'Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...READ MORE', 'Nice 👍READ MORE', 'Waste productREAD MORE', 'Average phone,  very slowREAD MORE', 'Poor performance. Hangs oftenREAD MORE', 'Nice productREAD MORE', 'Battery charge down quicklyREAD MORE']"
"Nokia C32 (Beach Pink, 128 GB)","₹8,740",4,106,15,"['Best in the market!', 'Good quality product', 'Worth every penny', 'Absolute rubbish!', 'Brilliant', 'Not recommended at all', 'Does the job', 'Nice', 'Terrific purchase', 'Worthless']","['Super 👍 mobile haiREAD MORE', 'I  LIKE IT.READ MORE', 'Excellent mobileREAD MORE', 'Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...READ MORE', 'Nice 👍READ MORE', 'Waste productREAD MORE', 'Average phone,  very slowREAD MORE', 'Poor performance. Hangs oftenREAD MORE', 'Nice productREAD MORE', 'Battery charge down quicklyREAD MORE']"
"Nokia C32 (Breezy Mint, 128 GB)","₹7,999",4,106,15,"['Best in the market!', 'Good quality product', 'Worth every penny', 'Absolute rubbish!', 'Brilliant', 'Not recommended at all', 'Does the job', 'Nice', 'Terrific purchase', 'Worthless']","['Super 👍 mobile haiREAD MORE', 'I  LIKE IT.READ MORE', 'Excellent mobileREAD MORE', 'Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...READ MORE', 'Nice 👍READ MORE', 'Waste productREAD MORE', 'Average phone,  very slowREAD MORE', 'Poor performance. Hangs oftenREAD MORE', 'Nice productREAD MORE', 'Battery charge down quicklyREAD MORE']"
"Nokia G42 5G (So Grey, 256 GB)","₹16,890",4.1,228,38,"['Nice product', 'Value-for-money', 'Moderate', 'Terrific purchase', 'Awesome', 'Excellent', 'Absolute rubbish!', 'Worth every penny', 'Excellent', 'Fair']","['GoodREAD MORE', 'quality phoneREAD MORE', ""China piece better than this thpooo worst mobile  mobiles it's sometimes running slow money waste dont buy performance worstREAD MORE"", 'Excellent phone in budget. Good performance. Stock Android.READ MORE', 'NiceREAD MORE', 'Really natural pic not artifial like other mobile super camera .battery superb and processor good for medium level gamer.over all superb phone thanks nokiaREAD MORE', 'Defective productREAD MORE', 'Very nice mobileREAD MORE', ""It's an excellent Mobile phone hand set in this price. I am happy with FlipkartREAD MORE"", 'Missing a compass, essential for navigating by footREAD MORE']"
"Nokia G42 5G (So Pink, 256 GB)","₹17,499",4.1,228,38,"['Nice product', 'Value-for-money', 'Moderate', 'Terrific purchase', 'Awesome', 'Excellent', 'Absolute rubbish!', 'Worth every penny', 'Excellent', 'Fair']","['GoodREAD MORE', 'quality phoneREAD MORE', ""China piece better than this thpooo worst mobile  mobiles it's sometimes running slow money waste dont buy performance worstREAD MORE"", 'Excellent phone in budget. Good performance. Stock Android.READ MORE', 'NiceREAD MORE', 'Really natural pic not artifial like other mobile super camera .battery superb and processor good for medium level gamer.over all superb phone thanks nokiaREAD MORE', 'Defective productREAD MORE', 'Very nice mobileREAD MORE', ""It's an excellent Mobile phone hand set in this price. I am happy with FlipkartREAD MORE"", 'Missing a compass, essential for navigating by footREAD MORE']"
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Charcoal, 64 GB)","₹8,099",3.4,84,9,"['Did not meet expectations', 'Highly recommended', 'Expected a better product', 'Just okay', 'Very poor', 'Terrible product', 'Not recommended at all', 'Not recommended at all', 'Terrific']","['The phone i gifted to my uncle in his birthday but after receiving its work good for 1 week after week he is facing network issues but sim is working nice he put on different phone its is working good but when he use this phone having problem..so i was trying to contact customer service online in same app they are not responding my massageREAD MORE', 'Very nice mobileREAD MORE', 'Over heatingREAD MORE', 'The product is very good Must buyREAD MORE', 'Battery drain earlier, screen refresh rate very low,Actually 2gb ram,READ MORE', ""Don't buy this product very bad performanceREAD MORE"", 'Bed productREAD MORE', 'Worst phone..READ MORE', 'My phone display touchREAD MORE']"
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Sand, 64 GB)","₹7,749",3.4,84,9,"['Did not meet expectations', 'Highly recommended', 'Expected a better product', 'Just okay', 'Very poor', 'Terrible product', 'Not recommended at all', 'Not recommended at all', 'Terrific']","['The phone i gifted to my uncle in his birthday but after receiving its work good for 1 week after week he is facing network issues but sim is working nice he put on different phone its is working good but when he use this phone having problem..so i was trying to contact customer service online in same app they are not responding my massageREAD MORE', 'Very nice mobileREAD MORE', 'Over heatingREAD MORE', 'The product is very good Must buyREAD MORE', 'Battery drain earlier, screen refresh rate very low,Actually 2gb ram,READ MORE', ""Don't buy this product very bad performanceREAD MORE"", 'Bed productREAD MORE', 'Worst phone..READ MORE', 'My phone display touchREAD MORE']"
"Nokia G11 Plus TA-1438 DS (Grey, 64 GB)","₹7,555",3.7,115,9,"['Classy product', 'Must buy!', 'Absolute rubbish!', 'Horrible', 'Terrific purchase', 'Utterly Disappointed', ""Don't waste your money"", 'Nice product', 'Must buy!']","[""Really good phone.. I wonder y some people rubbish this one.. Ofcourse this is not the best, but does the job decent enough and for the price, this phone is a steal.. people with low to medium level usage who don't really bother about gaming, can buy this phone without any doubts .. this is my second g11 plus  and I am absolutely happy with this phone.  Well done Nokia.. and thank you.. the stock Android is the usp here..READ MORE"", 'It is very good cell in this range.Real camera is very good but front camera are not to the expectations.Charging is slow...READ MORE', 'Not okayREAD MORE', 'battery charging very slowREAD MORE', 'Nokia my life confidential productBcoz I love it product qualityREAD MORE', 'Very BadREAD MORE', ""Stopped working, not taking charge, pathetic experience, suggest you don't buy, Utterly Disappointed.READ MORE"", 'Well good battery, but would have better display as per brand name Nokia.READ MORE', 'GoodREAD MORE']"
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Purple, 64 GB)","₹7,749",3.4,84,9,"['Did not meet expectations', 'Highly recommended', 'Expected a better product', 'Just okay', 'Very poor', 'Terrible product', 'Not recommended at all', 'Not recommended at all', 'Terrific']","['The phone i gifted to my uncle in his birthday but after receiving its work good for 1 week after week he is facing network issues but sim is working nice he put on different phone its is working good but when he use this phone having problem..so i was trying to contact customer service online in same app they are not responding my massageREAD MORE', 'Very nice mobileREAD MORE', 'Over heatingREAD MORE', 'The product is very good Must buyREAD MORE', 'Battery drain earlier, screen refresh rate very low,Actually 2gb ram,READ MORE', ""Don't buy this product very bad performanceREAD MORE"", 'Bed productREAD MORE', 'Worst phone..READ MORE', 'My phone display touchREAD MORE']"
"Nokia C12 Pro Dual Sim | 6.3 inch Display | 4000 mAh Battery (Mint, 64 GB)","₹7,499",4,30,1,['Terrific purchase'],['Absolutely fine product 🔥READ MORE']
